Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Year
August,08/31/2019,16:00:00,09/02/2019,06:00:00,California: Calaveras County;,WECC,Vandalism,0,0,2019
September,09/04/2019,14:30:00,09/06/2019,18:00:00,Texas:,TRE,Severe Weather,Unknown,Unknown,2019
September,09/04/2019,11:13:00,09/04/2019,11:57:00,Maryland: District of Columbia:,RF,System Operations,0,0,2019
September,09/05/2019,22:00:00,09/06/2019,12:00:00,North Carolina:,SERC,Severe Weather,3,2000,2019
September,09/05/2019,22:36:00,09/06/2019,16:00:00,North Carolina: South Carolina:,SERC,Severe Weather,Unknown,116000,2019
September,09/05/2019,04:15:00,09/05/2019,15:17:00,South Carolina:,SERC,Severe Weather,Unknown,172278,2019
September,09/05/2019,10:08:00,09/05/2019,12:08:00,Maine:,NPCC,System Operations,0,0,2019
September,09/06/2019,08:20:00,Unknown,Unknown,North Carolina:,SERC,Severe Weather,Unknown,77000,2019
September,09/10/2019,21:22:00,09/10/2019,21:23:00,Wyoming: Sweetwater County;,WECC,Transmission Interruption,885,0,2019
September,09/11/2019,22:35:00,09/11/2019,23:59:00,"Michigan: Ionia County, Kent County, Barry County, Montcalm County, Allegan County, Ottawa County, Newaygo County;",RF,Severe Weather,Unknown,54000,2019
September,09/13/2019,02:31:00,09/16/2019,17:00:00,Tennessee:,SERC,System Operations,0,0,2019
September,09/19/2019,18:40:00,09/19/2019,18:46:00,Minnesota: Washington County;,MRO,Vandalism,0,0,2019
September,09/19/2019,05:55:00,09/19/2019,14:30:00,Arizona: Pima County;,WECC,Fuel Supply Deficiency,0,0,2019
September,09/20/2019,00:21:00,09/20/2019,12:04:00,Oklahoma: Oklahoma County;,SPP RE,System Operations,0,0,2019
September,09/24/2019,15:56:00,09/26/2019,19:25:00,Washington: King County;,WECC,Vandalism,0,0,2019
September,09/25/2019,17:25:00,09/25/2019,18:16:00,Wisconsin: Marathon County;,MRO,Suspicious Activity,0,0,2019
September,09/25/2019,03:47:00,09/25/2019,15:40:00,"California: Napa County, Nevada County, Placer County, Plumas County, Sonoma County, Butte County, Yuba County;",WECC,Severe Weather,25,69524,2019
September,09/25/2019,09:59:00,09/25/2019,10:00:00,Texas:,TRE,Vandalism,Unknown,Unknown,2019
September,09/26/2019,14:31:00,09/26/2019,15:14:00,Maryland: Baltimore County;,RF,System Operations,0,0,2019
September,09/29/2019,07:38:00,Unknown,Unknown,California: Alameda County;,WECC,Distribution Interruption,Unknown,50072,2019
September,09/30/2019,05:35:00,09/30/2019,08:10:00,Washington: King County;,WECC,System Operations,0,0,2019
September,09/30/2019,12:17:00,09/30/2019,12:58:00,Nevada: Clark County;,WECC,Actual Physical Attack,3736,0,2019
September,09/30/2019,10:53:00,09/30/2019,10:54:00,Idaho: Bonneville County;,WECC,Vandalism,0,0,2019
October,10/03/2019,00:13:00,10/03/2019,04:00:00,Missouri: Reynolds County;,SERC,Vandalism,0,0,2019
October,10/04/2019,05:15:00,Unknown,Unknown,California:,WECC,Fuel Supply Deficiency,0,0,2019
October,10/06/2019,05:15:00,Unknown,Unknown,California:,WECC,Fuel Supply Deficiency,0,0,2019
October,10/06/2019,14:50:00,10/06/2019,15:00:00,"Texas: Hidalgo County, Cameron County;",TRE,Transmission Interruption,Unknown,Unknown,2019
October,10/09/2019,00:27:00,Unknown,Unknown,California:,WECC,Severe Weather/Transmission Interruption,2400,737808,2019
October,10/10/2019,02:06:00,10/10/2019,05:05:00,Maine:,NPCC,System Operations,0,0,2019
October,10/10/2019,00:22:00,10/10/2019,02:12:00,Colorado: Jefferson County;,WECC,System Operations,0,0,2019
October,10/11/2019,10:56:00,10/11/2019,11:46:00,Michigan: Wayne County;,RF,System Operations,0,0,2019
October,10/12/2019,15:00:00,10/12/2019,16:21:00,Texas:,TRE,Transmission Interruption,0,0,2019
