Month,Area_Affected,Event_Type,Demand_Loss_(MW),Number_of_Customers_Affected,Date_Time_Event_Began,Date_Time_Restoration,Event_Duration_(hours),Year
June,Virginia,Severe Weather,,60000.0,2019-06-20 16:11:00,2019-06-21 12:45:00,20.57,2019
June,Maine,System Operations,0.0,0.0,2019-06-21 18:36:00,2019-06-21 19:27:00,0.85,2019
June,Kentucky,Severe Weather,,50000.0,2019-06-21 19:15:00,,,2019
June,California,Vandalism,0.0,0.0,2019-06-21 10:00:00,2019-06-21 11:00:00,1.0,2019
June,Alabama,Severe Weather,115.0,34637.0,2019-06-22 20:46:00,2019-06-23 00:30:00,3.73,2019
June,Texas,Severe Weather,,265000.0,2019-06-23 22:00:00,2019-06-25 23:00:00,49.0,2019
June,Arkansas,Transmission Interruption,47.0,16199.0,2019-06-23 05:13:00,2019-06-23 10:58:00,5.75,2019
June,Oklahoma,System Operations,0.0,0.0,2019-06-24 09:40:00,2019-06-24 15:17:00,5.62,2019
June,Arkansas,Severe Weather,,56451.0,2019-06-24 05:30:00,2019-06-24 08:45:00,3.25,2019
June,North Dakota,Transmission Interruption,53.0,0.0,2019-06-26 13:58:00,2019-06-26 14:03:00,0.08,2019
June,Idaho,Transmission Interruption,0.0,0.0,2019-06-28 14:25:00,,,2019
June,New York,Severe Weather,3189.0,52498.0,2019-06-30 15:15:00,2019-06-30 16:15:00,1.0,2019
June,Illinois,Severe Weather,,100000.0,2019-06-30 15:30:00,2019-06-30 20:30:00,5.0,2019
July,Idaho,Vandalism,0.0,0.0,2019-07-02 13:00:00,2019-07-02 13:22:00,0.37,2019
July,Mississippi,Vandalism,,3000.0,2019-07-06 22:00:00,2019-07-07 13:57:00,15.95,2019
July,Texas,Vandalism,0.0,0.0,2019-07-09 01:59:00,2019-07-09 15:50:00,13.85,2019
July,Texas,Severe Weather,,57000.0,2019-07-10 12:10:00,2019-07-12 12:30:00,48.33,2019
July,Utah,Vandalism,0.0,0.0,2019-07-10 12:00:00,2019-07-10 12:15:00,0.25,2019
July,Texas,Transmission Interruption,26.0,2043.0,2019-07-11 11:08:00,2019-07-11 11:13:00,0.08,2019
July,Louisiana,Severe Weather,,63000.0,2019-07-13 23:55:00,2019-07-14 13:00:00,13.08,2019
July,Louisiana,Severe Weather,,55730.0,2019-07-13 07:15:00,2019-07-14 17:00:00,33.75,2019
July,New York,Transmission Interruption,452.0,72669.0,2019-07-13 18:47:00,2019-07-13 23:37:00,4.83,2019
July,Oklahoma,Suspicious Activity,0.0,0.0,2019-07-17 14:12:00,2019-07-17 14:30:00,0.3,2019
July,Michigan,Severe Weather,,400000.0,2019-07-19 19:00:00,2019-07-21 20:00:00,49.0,2019
July,Wisconsin,System Operations,,,2019-07-19 09:55:00,2019-07-19 13:00:00,3.08,2019
July,Missouri,Suspicious Activity,0.0,0.0,2019-07-20 07:37:00,2019-07-20 09:20:00,1.72,2019
July,Wisconsin,Severe Weather,200.0,50000.0,2019-07-20 11:55:00,2019-07-23 00:00:00,60.08,2019
July,Michigan,Severe Weather,,160000.0,2019-07-20 03:00:00,2019-07-22 07:00:00,52.0,2019
July,New York,Severe Weather,60.0,45000.0,2019-07-21 23:00:00,2019-07-22 20:54:00,21.9,2019
July,Pennsylvania,Severe Weather,,165000.0,2019-07-22 16:00:00,2019-07-24 23:00:00,55.0,2019
July,New Jersey,Severe Weather,49.0,95600.0,2019-07-22 17:50:00,2019-07-25 13:15:00,67.42,2019
July,Nebraska,Transmission Interruption,0.0,0.0,2019-07-23 23:55:00,2019-07-23 23:56:00,0.02,2019
July,California,Vandalism,,25.0,2019-07-23 03:22:00,2019-07-23 05:40:00,2.3,2019
July,Nebraska,Transmission Interruption,0.0,0.0,2019-07-23 23:55:00,2019-07-24 05:22:00,5.45,2019
July,Massachusetts,Severe Weather,54.0,54535.0,2019-07-23 15:39:00,2019-07-23 19:00:00,3.35,2019
July,Utah,Vandalism,,1.0,2019-07-24 13:30:00,2019-07-24 13:31:00,0.02,2019
July,Maine,System Operations,0.0,0.0,2019-07-24 08:01:00,2019-07-24 12:49:00,4.8,2019
July,Michigan,System Operations,0.0,0.0,2019-07-28 18:48:00,2019-07-28 19:18:00,0.5,2019
July,Louisiana,Severe Weather/Transmission Interruption,,13720.0,2019-07-30 08:45:00,2019-07-30 09:45:00,1.0,2019
August,Washington,System Operations,0.0,0.0,2019-08-02 18:24:00,2019-08-02 19:28:00,1.07,2019
August,Minnesota,Transmission Interruption,0.0,0.0,2019-08-02 01:49:00,2019-08-02 01:55:00,0.1,2019
August,Oregon,Transmission Interruption,66.0,,2019-08-05 17:23:00,2019-08-06 00:02:00,6.65,2019
August,California,Vandalism,0.0,0.0,2019-08-07 15:00:00,2019-08-07 15:30:00,0.5,2019
August,Washington,Vandalism,0.0,0.0,2019-08-07 08:40:00,,,2019
August,Maine,System Operations,0.0,0.0,2019-08-07 09:30:00,2019-08-07 11:15:00,1.75,2019
August,Ohio,Severe Weather/Transmission Interruption,,5600.0,2019-08-08 16:16:00,2019-08-08 22:41:00,6.42,2019
August,Texas,Suspicious Activity,0.0,0.0,2019-08-09 09:53:00,2019-08-09 10:46:00,0.88,2019
August,Michigan,System Operations,0.0,0.0,2019-08-10 16:11:00,2019-08-10 16:46:00,0.58,2019
August,Michigan,System Operations,0.0,0.0,2019-08-10 19:59:00,2019-08-10 21:04:00,1.08,2019
August,California,Vandalism,0.0,0.0,2019-08-13 10:00:00,2019-08-13 11:00:00,1.0,2019
August,North Dakota,Vandalism,,,2019-08-13 00:00:00,,,2019
